count(twitterstatusid),userid
1,31150531
1,31212830
1,31221839
1,31223236
1,31283177
1,31305822
1,31331127
4,31363700
1,31395389
3,31403779
1,31435069
1,31516646
1,31541268
1,31649027
1,31903388
2,31904265
1,31906988
1,31934987
1,32168059
1,32189808
1,32253197
1,32312128
1,32342547
1,32343115
1,32398408
2,32469653
1,32496207
9,32496815
17,32497478
1,32540713
1,32671252
2,32686899
1,32724044
2,32765764
1,32772630
1,32773428
1,32774558
1,32787524
1,32789881
1,32794999
1,32797817
1,32846670
1,32862850
1,33012538
1,33029226
1,33221597
2,33263281
1,33410754
1,33654575
1,33655888
1,33729787
1,33753764
1,33786401
5,33810385
1,33842212
1,33876273
1,33896281
1,33944956
1,33973740
1,33989530
6,34118127
3,34179832
2,34220819
1,34232813
2,34234990
1,34349031
1,34354747
2,34383891
1,34396947
2,34497220
1,34502694
2,34534800
1,34550203
1,34576871
1,34603742
1,34665783
1,34671289
1,34777153
4,34822048
1,34840113
3,34842246
3,34890419
1,34978488
1,35052853
1,35161320
4,35189979
3220,35193985
1,35198375
1,35248739
1,35254553
1,35298920
1,35306302
1,35346943
1,35376068
1,35406022
1,35421551
1,35437505
1,35506487
4,35525976
1,35534044
1,35569205
1,35572853
1,35687568
2,35728314
1,35821643
1,35874681
1,35888387
1,35991644
1,36115151
1218,36147965
1,36150261
5,36211238
1,36291098
1387,36554741
1,36587654
4,36667104
1,36772213
